,LOCATION,SUBJECT,MEASURE,TIME,VALUE
0,AUS,BEEF,KG_CAP,1990.0,0.0
1,AUS,BEEF,KG_CAP,1991.0,27.941999999999997
2,AUS,BEEF,KG_CAP,1992.0,26.405
3,AUS,BEEF,KG_CAP,1993.0,26.37
4,AUS,BEEF,KG_CAP,1994.0,25.662
5,AUS,BEEF,KG_CAP,1995.0,25.526
6,AUS,BEEF,KG_CAP,1996.0,27.453000000000003
7,AUS,BEEF,KG_CAP,1997.0,29.0
8,AUS,BEEF,KG_CAP,1998.0,26.765
9,AUS,BEEF,KG_CAP,1999.0,28.095
10,AUS,BEEF,KG_CAP,2000.0,26.515
11,AUS,BEEF,KG_CAP,2001.0,24.605999999999998
12,AUS,BEEF,KG_CAP,2002.0,25.263
13,AUS,BEEF,KG_CAP,2003.0,25.958000000000002
14,AUS,BEEF,KG_CAP,2004.0,28.719
15,AUS,BEEF,KG_CAP,2005.0,27.19
16,AUS,BEEF,KG_CAP,2006.0,27.03
17,AUS,BEEF,KG_CAP,2007.0,24.166
18,AUS,BEEF,KG_CAP,2008.0,23.343000000000004
19,AUS,BEEF,KG_CAP,2009.0,23.454
20,AUS,BEEF,KG_CAP,2010.0,25.31
21,AUS,BEEF,KG_CAP,2011.0,23.287
22,AUS,BEEF,KG_CAP,2012.0,22.435
23,AUS,BEEF,KG_CAP,2013.0,23.744
24,AUS,BEEF,KG_CAP,2014.0,22.587
25,AUS,BEEF,KG_CAP,2015.0,20.519000000000002
26,AUS,BEEF,KG_CAP,2016.0,19.473
27,AUS,BEEF,KG_CAP,2017.0,21.250999999999998
28,AUS,BEEF,KG_CAP,2018.0,19.965
29,AUS,BEEF,KG_CAP,2019.0,19.698
30,AUS,PIG,KG_CAP,1990.0,0.0
31,AUS,PIG,KG_CAP,1991.0,14.520999999999999
32,AUS,PIG,KG_CAP,1992.0,15.255999999999998
33,AUS,PIG,KG_CAP,1993.0,15.082
34,AUS,PIG,KG_CAP,1994.0,15.645999999999999
35,AUS,PIG,KG_CAP,1995.0,15.652000000000001
36,AUS,PIG,KG_CAP,1996.0,14.478
37,AUS,PIG,KG_CAP,1997.0,14.857999999999999
38,AUS,PIG,KG_CAP,1998.0,15.257
39,AUS,PIG,KG_CAP,1999.0,15.193
40,AUS,PIG,KG_CAP,2000.0,15.651
41,AUS,PIG,KG_CAP,2001.0,14.892000000000001
42,AUS,PIG,KG_CAP,2002.0,16.418
43,AUS,PIG,KG_CAP,2003.0,17.593
44,AUS,PIG,KG_CAP,2004.0,17.718
45,AUS,PIG,KG_CAP,2005.0,18.863
46,AUS,PIG,KG_CAP,2006.0,18.409000000000002
47,AUS,PIG,KG_CAP,2007.0,20.221
48,AUS,PIG,KG_CAP,2008.0,19.17
49,AUS,PIG,KG_CAP,2009.0,19.744
50,AUS,PIG,KG_CAP,2010.0,20.129
51,AUS,PIG,KG_CAP,2011.0,19.486
52,AUS,PIG,KG_CAP,2012.0,20.502
53,AUS,PIG,KG_CAP,2013.0,19.9
54,AUS,PIG,KG_CAP,2014.0,20.174
55,AUS,PIG,KG_CAP,2015.0,21.77
56,AUS,PIG,KG_CAP,2016.0,21.4
57,AUS,PIG,KG_CAP,2017.0,22.061999999999998
