,LOCATION,SUBJECT,MEASURE,TIME,VALUE
600,NZL,BEEF,KG_CAP,1990.0,26.072
601,NZL,BEEF,KG_CAP,1991.0,24.03
602,NZL,BEEF,KG_CAP,1992.0,24.801
603,NZL,BEEF,KG_CAP,1993.0,24.151
604,NZL,BEEF,KG_CAP,1994.0,21.023000000000003
605,NZL,BEEF,KG_CAP,1995.0,28.218000000000004
606,NZL,BEEF,KG_CAP,1996.0,29.057
607,NZL,BEEF,KG_CAP,1997.0,25.258000000000003
608,NZL,BEEF,KG_CAP,1998.0,21.919
609,NZL,BEEF,KG_CAP,1999.0,23.146
610,NZL,BEEF,KG_CAP,2000.0,23.267
611,NZL,BEEF,KG_CAP,2001.0,21.663
612,NZL,BEEF,KG_CAP,2002.0,16.952
613,NZL,BEEF,KG_CAP,2003.0,23.15
614,NZL,BEEF,KG_CAP,2004.0,20.182000000000002
615,NZL,BEEF,KG_CAP,2005.0,15.749
616,NZL,BEEF,KG_CAP,2006.0,17.187
617,NZL,BEEF,KG_CAP,2007.0,20.094
618,NZL,BEEF,KG_CAP,2008.0,20.143
619,NZL,BEEF,KG_CAP,2009.0,17.779
620,NZL,BEEF,KG_CAP,2010.0,
621,NZL,BEEF,KG_CAP,2011.0,
622,NZL,BEEF,KG_CAP,2012.0,
623,NZL,BEEF,KG_CAP,2013.0,
624,NZL,BEEF,KG_CAP,2014.0,
625,NZL,BEEF,KG_CAP,2015.0,
626,NZL,BEEF,KG_CAP,2016.0,
627,NZL,BEEF,KG_CAP,2017.0,
628,NZL,BEEF,KG_CAP,2018.0,
629,NZL,BEEF,KG_CAP,2019.0,
630,NZL,PIG,KG_CAP,1990.0,10.972000000000001
631,NZL,PIG,KG_CAP,1991.0,10.554
632,NZL,PIG,KG_CAP,1992.0,10.968
633,NZL,PIG,KG_CAP,1993.0,11.593
634,NZL,PIG,KG_CAP,1994.0,13.052999999999999
635,NZL,PIG,KG_CAP,1995.0,12.425
636,NZL,PIG,KG_CAP,1996.0,12.508
637,NZL,PIG,KG_CAP,1997.0,11.86
638,NZL,PIG,KG_CAP,1998.0,12.507
639,NZL,PIG,KG_CAP,1999.0,13.388
640,NZL,PIG,KG_CAP,2000.0,13.382
641,NZL,PIG,KG_CAP,2001.0,12.548
642,NZL,PIG,KG_CAP,2002.0,12.959000000000001
643,NZL,PIG,KG_CAP,2003.0,13.784
644,NZL,PIG,KG_CAP,2004.0,14.847000000000001
645,NZL,PIG,KG_CAP,2005.0,15.039000000000001
646,NZL,PIG,KG_CAP,2006.0,16.012
647,NZL,PIG,KG_CAP,2007.0,16.083
648,NZL,PIG,KG_CAP,2008.0,16.066
649,NZL,PIG,KG_CAP,2009.0,15.913
650,NZL,PIG,KG_CAP,2010.0,
651,NZL,PIG,KG_CAP,2011.0,
652,NZL,PIG,KG_CAP,2012.0,
653,NZL,PIG,KG_CAP,2013.0,
654,NZL,PIG,KG_CAP,2014.0,
655,NZL,PIG,KG_CAP,2015.0,
656,NZL,PIG,KG_CAP,2016.0,
657,NZL,PIG,KG_CAP,2017.0,
658,NZL,PIG,KG_CAP,2018.0,
659,NZL,PIG,KG_CAP,2019.0,
660,NZL,POULTRY,KG_CAP,1990.0,14.58
661,NZL,POULTRY,KG_CAP,1991.0,14.887
662,NZL,POULTRY,KG_CAP,1992.0,15.298
663,NZL,POULTRY,KG_CAP,1993.0,16.837
664,NZL,POULTRY,KG_CAP,1994.0,18.304000000000002
665,NZL,POULTRY,KG_CAP,1995.0,22.268
666,NZL,POULTRY,KG_CAP,1996.0,21.561
667,NZL,POULTRY,KG_CAP,1997.0,20.901
668,NZL,POULTRY,KG_CAP,1998.0,22.654
669,NZL,POULTRY,KG_CAP,1999.0,23.193
670,NZL,POULTRY,KG_CAP,2000.0,24.555
671,NZL,POULTRY,KG_CAP,2001.0,26.459
672,NZL,POULTRY,KG_CAP,2002.0,28.701999999999998
673,NZL,POULTRY,KG_CAP,2003.0,31.078000000000003
674,NZL,POULTRY,KG_CAP,2004.0,32.25
675,NZL,POULTRY,KG_CAP,2005.0,33.828
676,NZL,POULTRY,KG_CAP,2006.0,32.135
677,NZL,POULTRY,KG_CAP,2007.0,30.451
678,NZL,POULTRY,KG_CAP,2008.0,30.258000000000003
679,NZL,POULTRY,KG_CAP,2009.0,28.3
680,NZL,POULTRY,KG_CAP,2010.0,
681,NZL,POULTRY,KG_CAP,2011.0,
682,NZL,POULTRY,KG_CAP,2012.0,
683,NZL,POULTRY,KG_CAP,2013.0,
684,NZL,POULTRY,KG_CAP,2014.0,
685,NZL,POULTRY,KG_CAP,2015.0,
686,NZL,POULTRY,KG_CAP,2016.0,
687,NZL,POULTRY,KG_CAP,2017.0,
688,NZL,POULTRY,KG_CAP,2018.0,
689,NZL,POULTRY,KG_CAP,2019.0,
690,NZL,SHEEP,KG_CAP,1990.0,27.826
691,NZL,SHEEP,KG_CAP,1991.0,29.771
692,NZL,SHEEP,KG_CAP,1992.0,29.918000000000003
693,NZL,SHEEP,KG_CAP,1993.0,21.451
694,NZL,SHEEP,KG_CAP,1994.0,38.563
695,NZL,SHEEP,KG_CAP,1995.0,30.028000000000002
696,NZL,SHEEP,KG_CAP,1996.0,15.187000000000001
697,NZL,SHEEP,KG_CAP,1997.0,26.156999999999996
698,NZL,SHEEP,KG_CAP,1998.0,26.385
699,NZL,SHEEP,KG_CAP,1999.0,22.730999999999998
700,NZL,SHEEP,KG_CAP,2000.0,25.484
701,NZL,SHEEP,KG_CAP,2001.0,27.061
702,NZL,SHEEP,KG_CAP,2002.0,20.607
703,NZL,SHEEP,KG_CAP,2003.0,24.336
704,NZL,SHEEP,KG_CAP,2004.0,20.494
705,NZL,SHEEP,KG_CAP,2005.0,20.19
706,NZL,SHEEP,KG_CAP,2006.0,19.05
707,NZL,SHEEP,KG_CAP,2007.0,17.335
708,NZL,SHEEP,KG_CAP,2008.0,13.529000000000002
709,NZL,SHEEP,KG_CAP,2009.0,6.3839999999999995
